x,y,is_wall
0.26,-0.41,1
0.78,0.2,1
-0.22,0.37,0
-0.26,-0.33,1
2.48,-0.74,0
-0.21,0.29,1
0.05,-0.4,1
0.72,0.29,0
1.12,0.16,1
-0.23,-0.14,1
0.94,-0.4,1
1.34,-0.27,1
1.39,-0.02,1
0.68,0.26,0
0.28,0.39,1
1.3,0.15,1
-0.25,-0.3,1
-0.23,0.4,1
0.76,0.25,1
0.36,0.38,1
1.38,0.14,1
0.47,0.38,1
-0.22,0.26,1
-0.25,-0.27,1
0.74,0.16,1
-0.22,0.19,1
0.1,0.39,1
-0.07,0.4,1
0.52,0.38,1
0.3,-0.41,1
1.7,-0.63,0
-0.25,-0.04,1
0.17,0.39,1
1.37,0,1
1.34,0.01,1
0.14,0.4,1
-0.03,0.41,1
0.94,0.14,1
0.77,0.18,1
-0.23,0.19,1
0.09,0.39,1
-0.08,0.4,1
0.51,0.38,1
1.19,0.16,1
0.79,0.29,1
0.34,-0.41,1
0.87,0.14,1
-0.1,0.41,1
0.07,0.4,1
-0.26,-0.19,1
0.75,0.24,1
0.69,0.29,0
1.09,0.16,1
0.78,0.19,1
-0.22,0.36,1
-0.26,-0.34,1
1.01,-0.35,1
0.54,0.37,1
1.34,0.11,1
1.36,0.05,1
0.68,0.22,1
1.36,0.06,1
0.22,0.4,1
1.33,-0.32,1
1.02,0.14,1
1.36,0.09,1
1.33,-0.29,1
1.02,0.17,1
0.69,0.26,1
0.29,0.39,1
1.31,0.15,1
0.77,0.25,1
0.37,0.38,1
1.03,0.13,1
1.32,-0.33,1
0.23,0.39,1
-0.23,-0.02,1
-0.21,0.42,1
0.76,0.15,1
-0.24,-0.38,1
1.09,0.15,1
0.69,0.28,1
0.8,0.29,1
1.2,0.16,1
0.73,0.24,1
-0.24,-0.19,1
1.36,-0.21,1
0.59,0.38,1
1.31,-0.22,1
0.91,-0.35,1
0.64,0.37,1
1.72,-0.66,0
0.72,0.36,1
0.83,-0.36,1
-0.23,-0.07,1
0.49,-0.4,1
0.66,-0.36,1
0.61,0.39,1
1.34,-0.2,1
1.28,-0.33,0
0.27,0.39,1
1.29,0.15,1
0.72,0.14,1
-0.25,0.41,1
0.43,-0.4,1
0.84,-0.37,1
0.71,0.35,1
1.35,0.11,1
0.55,0.37,1
0.83,-0.39,1
-0.23,-0.1,1
0.72,0.33,1
0.92,0.13,1
0.12,0.39,1
-0.05,0.4,1
0.54,0.38,1
0.84,-0.38,1
0.71,0.34,1
0.8,0.25,1
0.4,0.38,1
0.6,-0.35,1
1.4,-0.09,1
0.73,0.36,1
-0.24,-0.07,1
0.82,-0.36,1
0.82,-0.4,1
-0.24,-0.11,1
2.36,-0.65,0
1.82,-0.67,0
0.93,-0.37,1
1.33,-0.24,1
0.65,-0.4,1
0.83,0.31,1
-0.23,0.02,1
1.34,0.15,1
1.35,-0.19,1
1.4,0.14,1
0.3,0.39,1
1.32,0.15,1
0.68,0.34,1
0.87,-0.38,1
0.49,0.38,1
2.46,-0.73,0
1.31,-0.23,1
0.91,-0.36,0
0.64,0.36,1
0.48,0.38,1
1.32,-0.31,1
1.03,0.15,1
0.98,-0.39,1
1.37,0.07,1
-0.23,0.26,1
-0.22,0.29,1
2.49,-0.74,0
0.92,-0.39,1
1.32,-0.26,1
0.63,0.33,1
1.31,0.17,1
0.68,-0.37,0
0.51,-0.41,1
0.46,0.38,1
0.45,0.38,1
1.19,0.17,1
0.79,0.3,1
-0.21,0.33,1
-0.24,-0.17,1
0.33,0.39,1
-0.22,0.02,1
1.35,0.15,1
-0.25,-0.37,1
-0.23,0.33,1
1.36,-0.02,1
0.79,0.25,0
0.39,0.38,1
-0.24,-0.13,1
1.13,0.17,1
0.73,0.3,1
-0.21,0.28,1
1.12,0.15,1
0.72,0.28,0
-0.23,-0.15,1
1.38,-0.21,1
1.37,0.12,1
0.57,0.38,1
-0.22,0.18,1
0.74,-0.35,1
1.37,-0.13,1
0.57,-0.39,1
0.62,-0.39,1
1.68,-0.65,1
0.76,0.37,1
0.79,-0.35,1
-0.22,0.17,1
1.63,-0.66,1
0.74,-0.36,1
0.87,-0.36,1
0.68,0.36,1
0.72,0.16,1
-0.23,-0.27,1
